time,open,high,low,close,Volume,Volume MA,MA
870442200,954.29,964.17,893.34,899.47,10606100000,9497846500,796.7439999999999
873120600,899.47,960.59,899.47,947.28,11383000000,9607594000,816.5399999999998
875712600,950.72,983.12,855.27,914.62,14017260000,9870959000,849.2379999999997
878567400,914.62,964.55,900.61,955.4,10173620000,9930430000,877.7079999999999
880986600,955.4,986.25,924.92,970.43,11958880000,10084595000,906.8959999999997
883665000,970.43,992.65,912.83,980.28,12733830000,10275229500,920.1639999999998
886429800,980.28,1051.66,980.28,1049.34,11656550000,10461515000,934.2159999999998
888849000,1049.68,1113.07,1030.87,1101.75,13719590000,10705001500,937.4399999999998
891441000,1101.75,1132.98,1076.7,1111.77,13656060000,11018788500,953.6019999999996
894029400,1111.75,1130.52,1074.39,1090.82,11477140000,11189442000,974.0139999999998
896707800,1090.82,1145.15,1074.67,1133.84,13551970000,11381857000,1011.4399999999998
899299800,1133.84,1190.58,1114.3,1120.67,14194800000,11653404500,1042.714
902151000,1120.67,1121.79,957.42,957.53,15071550000,11952523500,1066.792
904656600,957.3,1066.11,939.98,1017.05,16714080000,12206436000,1097.504
907248600,1017.01,1103.76,923.32,1098.67,18001650000,12620722000,1111.77
910017000,1098.82,1192.97,1098.82,1163.63,13451280000,12787248000,1082.926
912522600,1163.63,1244.93,1136.89,1229.23,15181450000,13023576500,1063.9819999999997
915201000,1229.23,1280.4,1206.59,1279.64,16213500000,13328919000,1065.552
917879400,1281.02,1283.91,1211.89,1238.33,14555860000,13513814500,1071.5099999999998
920298600,1238.33,1323.88,1216.03,1286.42,18002500000,13816033500,1093.2219999999998
922977000,1286.44,1371.67,1282.55,1335.18,18523200000,14211888500,1157.6439999999998
925738200,1335.18,1375.98,1277.31,1301.84,15880260000,14436751500,1201.8999999999999
928243800,1301.74,1372.93,1277.51,1372.66,16079170000,14539847000,1239.4499999999998
930835800,1372.7,1420.14,1328.49,1328.72,15332930000,14797812500,1273.7599999999998
933600600,1328.67,1382.75,1267.73,1320.41,15818550000,14990796000,1288.282
936192600,1321.12,1361.39,1256.29,1282.71,16438700000,15176039500,1306.886
938784600,1281,1373.22,1233.66,1362.93,18832000000,15534812000,1324.964
941466600,1363.17,1425.27,1346.49,1388.95,18384820000,15768073500,1331.762
